Cell_ID,X_Coordinate,Y_Coordinate,Assigned_Cell_Type,Assignment_Probability,Is_Top_75_Percent,ROI_Region,In_E_Region,In_MVL_Region
CR158ee290a-1,19925.33409090909,24373.77727272727,Ex_KIAA1217,0.0012139187,True,outside,False,False
CR158ee290a-10,23179.426666666663,2728.6525,Ex_SATB2_FOXP2,0.00053919206,True,outside,False,False
CR158ee290a-100,19228.386315789478,2433.592105263158,Ex_DACH2_RORB,0.0018455306,True,outside,False,False
CR158ee290a-1000,19671.753636363635,13631.190454545454,Inh_MGE_like_SST_ABI3BP,0.004543478,True,outside,False,False
CR158ee290a-1001,28628.732222222217,10568.28888888889,Ex_DACH2_ADAMTS5,0.00079290825,True,outside,False,False
CR158ee290a-1002,17066.513125,4871.295625,Ex_SATB2_FOXP2,0.0017332062,True,outside,False,False
CR158ee290a-1003,31596.090606060607,8530.806969696969,Ex_DACH2_RORB,0.006363702,True,outside,False,False
CR158ee290a-1004,18280.23375,15676.2825,Ex_SATB2_FOXP2,0.0010288148,True,outside,False,False
CR158ee290a-1005,24740.98,12776.21,Inh_MGE_like_SST_SLC24A2,0.0020016874,True,outside,False,False
CR158ee290a-1006,17921.783448275863,12823.040344827588,Ex_KIAA1217,0.002133572,True,outside,False,False
CR158ee290a-1007,31018.86,6226.8452,Inh_MGE_like_SST_SLC24A2,0.0013085564,True,outside,False,False
CR158ee290a-1008,8773.231578947369,17074.216842105263,Ex_SATB2_FOXP2,0.0016714847,True,e,True,False
CR158ee290a-1009,3115.64,9477.1,Ex_DACH2_MGAT4C,0.0016130742,True,outside,False,False
CR158ee290a-101,23379.42769230769,14128.463846153843,Ex_SATB2_OVOA,0.0022041863,True,outside,False,False
CR158ee290a-1010,21872.72583333333,23479.30416666667,Inh_MGE_like_SST_ABI3BP,0.004431356,True,outside,False,False
CR158ee290a-1011,26631.78428571429,16475.19761904762,Inh_OB_CPA6,0.005053952,True,outside,False,False
CR158ee290a-1012,25568.49,18320.65705882353,Ex_DACH2_ITGA9,0.0038658325,True,outside,False,False
CR158ee290a-1013,6117.894285714286,18977.99,Ex_SATB2_OVOA,0.0024279046,True,outside,False,False
CR158ee290a-1014,15320.989090909092,4381.144545454546,Ex_DACH2_RORB,0.0011994074,True,outside,False,False
CR158ee290a-1015,7328.645,17834.8225,Inh_LGE_like_FOXP2,0.0005653458,True,outside,False,False
CR158ee290a-1016,9719.122727272728,9522.293636363636,Ex_DACH2_MGAT4C,0.0016093043,True,outside,False,False
CR158ee290a-1017,26027.54857142857,7820.884285714285,Ex_DACH2_CEMIP,0.0011097498,True,outside,False,False
CR158ee290a-1018,4232.614545454545,14476.122727272728,Ex_DACH2_MGAT4C,0.00248019,True,outside,False,False
CR158ee290a-1019,19627.19777777778,12182.796666666669,Inh_MGE_like_SST_ABI3BP,0.004072328,True,outside,False,False
CR158ee290a-102,11928.23923076923,10724.197692307693,Inh_LGE_like_FOXP2,0.00055129186,True,e,True,False
CR158ee290a-1020,10121.992500000002,5770.011875000001,Ex_KIAA1217,0.0023293626,True,mvl,False,True
CR158ee290a-1021,22573.788461538457,15080.973076923075,Ex_KIAA1217,0.0022594028,True,outside,False,False
CR158ee290a-1022,10723.86,10632.26,Ex_DACH2_ZMAT4,0.003407179,True,e,True,False
CR158ee290a-1023,11427.0925,16821.351666666666,Ex_DACH2_ITGA9,0.0024045818,True,e,True,False
CR158ee290a-1024,12122.204062499999,15629.0265625,Inh_MGE_like_SST_PVALB,0.00090569106,True,e,True,False
CR158ee290a-1025,19079.903,13019.63,Ex_SATB2_OVOA,0.000665885,True,outside,False,False
CR158ee290a-1026,11269.46129032258,17719.432903225807,Inh_MGE_like_SST_PVALB,0.0007547289,True,outside,False,False
CR158ee290a-1027,9679.212,15378.592,Ex_SATB2_FOXP2,0.00091857574,True,e,True,False
CR158ee290a-1028,14074.99761904762,20673.341428571428,Inh_LGE_like_FOXP1_DGKH,0.0014167131,True,outside,False,False
CR158ee290a-1029,21334.896666666667,12172.83,Ex_DACH2_GRIK4,0.00061312184,True,outside,False,False
CR158ee290a-103,12221.233333333332,18031.036666666667,Inh_LGE_like_FOXP1_DGKH,0.001516605,True,outside,False,False
CR158ee290a-1030,23515.687857142857,17379.197142857145,Ex_SATB2_FOXP2,0.0017892116,True,outside,False,False
CR158ee290a-1031,10323.882727272729,10115.645454545454,Ex_DACH2_GRIK4,0.0014551342,True,e,True,False
CR158ee290a-1032,22522.41692307692,10926.944615384617,Inh_MGE_like_SST_SLC24A2,0.004138576,True,outside,False,False
CR158ee290a-1033,17931.021249999998,5231.5875,Ex_DACH2_NR4A3,0.0034021402,True,outside,False,False
CR158ee290a-1034,12474.4,15517.0875,Ex_DACH2_CEMIP,0.0035332511,True,e,True,False
CR158ee290a-1035,26421.933,11674.1645,Ex_DACH2_ZMAT4,0.0017618812,True,outside,False,False
CR158ee290a-1036,12232.536923076923,15817.296923076918,Ex_DACH2_GRIK4,0.0012205914,True,e,True,False
CR158ee290a-1037,17467.4175,12571.18125,Ex_DACH2_ADAMTS5,0.00076019834,True,outside,False,False
CR158ee290a-1038,9127.830666666669,16171.423333333334,Inh_LGE_like_FOXP2,0.0009544875,True,e,True,False
CR158ee290a-1039,16366.174999999997,13575.295,Ex_DACH2_ADAMTS5,0.00097424845,True,outside,False,False
CR158ee290a-104,23027.515000000003,17630.39214285714,Ex_SATB2_ZNF385B,0.0023166705,True,outside,False,False
CR158ee290a-1040,19271.74777777778,15521.630555555554,Ex_DACH2_ZMAT4,0.0014721237,True,outside,False,False
CR158ee290a-1041,26773.569999999996,13819.93625,Ex_SATB2_FOXP2,0.001584117,True,outside,False,False
CR158ee290a-1042,15031.522857142858,9578.021428571428,Ex_DACH2_GRIK4,0.0012199112,True,outside,False,False
CR158ee290a-1043,23072.485,7227.987777777777,Ex_SATB2_SOX6,0.0005970232,True,outside,False,False
CR158ee290a-1044,10217.845,10076.643125,Ex_DACH2_RORB,0.001445177,True,e,True,False
CR158ee290a-1045,4228.775555555556,14918.935555555558,Ex_DACH2_CEMIP,0.0021410233,True,outside,False,False
CR158ee290a-1046,11582.0075,15878.468125,Ex_DACH2_ITGA9,0.0017641135,True,e,True,False
CR158ee290a-1047,31168.24357142857,9732.70642857143,Inh_MGE_like_SST_PVALB,0.00074639,True,outside,False,False
CR158ee290a-1048,24477.046666666665,4568.415555555555,Ex_SATB2_OVOA,0.0006283917,True,outside,False,False
CR158ee290a-1049,22884.841666666667,11818.595555555556,Ex_SATB2_ZNF385B,0.0018040614,True,outside,False,False
CR158ee290a-105,10275.341818181818,16070.923636363636,Ex_BCL6,0.0018844259,True,e,True,False
CR158ee290a-1050,4970.471666666666,16527.890833333335,Inh_OB_CPA6,0.0019223082,True,outside,False,False
CR158ee290a-1051,19326.1725,6169.71125,Ex_SATB2_OVOA,0.00066879316,True,outside,False,False
CR158ee290a-1052,17623.826666666668,16876.30888888889,Ex_SATB2_ZNF385B,0.0015656576,True,outside,False,False
CR158ee290a-1053,14222.174166666666,14277.5775,Ex_DACH2_ADAMTS5,0.0008033523,True,outside,False,False
CR158ee290a-1054,25327.69777777778,3862.34,Ex_DACH2_GRIK4,0.0025008703,True,outside,False,False
CR158ee290a-1055,6423.576666666667,12623.985833333334,Ex_DACH2_RORB,0.0058311303,True,e,True,False
CR158ee290a-1056,30581.16777777778,7123.025555555555,Ex_BCL6,0.0022068308,True,outside,False,False
CR158ee290a-1057,20673.04,16627.3725,Ex_DACH2_NR4A3,0.0037017204,True,outside,False,False
CR158ee290a-1058,19919.123333333333,12421.496666666664,Ex_SATB2_ZNF385B,0.0020367452,True,outside,False,False
CR158ee290a-1059,17228.65846153846,19234.70846153846,Inh_MGE_like_SST_SLC24A2,0.001177383,True,outside,False,False
CR158ee290a-106,8323.715384615385,18227.105384615385,Inh_MGE_like_SST_ABI3BP,0.004464142,True,outside,False,False
CR158ee290a-1060,3620.5092307692307,9780.940769230769,Ex_DACH2_GRIK4,0.0018193992,True,outside,False,False
CR158ee290a-1061,13126.819166666666,12676.553333333331,Ex_DACH2_CEMIP,0.0023028192,True,e,True,False
CR158ee290a-1062,15683.769999999999,5025.197272727272,Ex_SATB2_OVOA,0.00083904853,True,outside,False,False
CR158ee290a-1063,24617.411428571428,16422.405714285713,Ex_SATB2_OVOA,0.0019644995,True,outside,False,False
CR158ee290a-1064,5368.254166666667,13881.621666666666,Ex_DACH2_ADAMTS5,0.001034457,True,e,True,False
CR158ee290a-1065,8968.369999999999,12412.06,Ex_DACH2_MGAT4C,0.0011474605,True,e,True,False
CR158ee290a-1066,20629.001875,10377.761875,Ex_DACH2_NR4A3,0.003691805,True,outside,False,False
CR158ee290a-1067,9774.183809523807,18120.72238095238,Inh_LGE_like_FOXP1_DGKH,0.0015523193,True,outside,False,False
CR158ee290a-1068,21372.52647058824,12923.642352941177,Ex_DACH2_LHX2,0.009284627,True,outside,False,False
CR158ee290a-1069,16619.174,4026.1839999999997,Inh_MGE_like_SST_PVALB,0.00075147324,True,outside,False,False
CR158ee290a-107,26477.715,7174.110000000001,Ex_DACH2_MGAT4C,0.0013510601,True,outside,False,False
CR158ee290a-1070,24874.341875,4977.680625,Ex_SATB2_SOX6,0.0005857776,True,outside,False,False
CR158ee290a-1071,6580.666,10771.981,Ex_DACH2_ZMAT4,0.0024722358,True,e,True,False
CR158ee290a-1072,24478.546875,11236.23625,Inh_LGE_like_FOXP2,0.0006039477,True,outside,False,False
CR158ee290a-1073,23933.265333333333,19080.336666666662,Ex_KIAA1217,0.002199451,True,outside,False,False
CR158ee290a-1074,22330.074285714283,18827.665,Inh_MGE_like_SST_PVALB,0.0009475037,True,outside,False,False
CR158ee290a-1075,31675.551363636365,10524.639545454544,Inh_OB_CPA6,0.0053276797,True,outside,False,False
CR158ee290a-1076,24924.036666666667,16423.56266666667,Ex_SATB2_ZNF385B,0.0020739296,True,outside,False,False
CR158ee290a-1077,21671.89375,14178.56125,Ex_DACH2_NR4A3,0.0027160426,True,outside,False,False
CR158ee290a-1078,21478.079999999998,6981.432142857143,Ex_SATB2_FOXP2,0.0021965753,True,outside,False,False
CR158ee290a-1079,6274.6475,12228.136666666664,Ex_DACH2_ITGA9,0.005596016,True,e,True,False
CR158ee290a-108,29125.918,8170.497,Ex_DACH2_NR4A3,0.0032651545,True,outside,False,False
CR158ee290a-1080,31015.205,11820.53888888889,Ex_DACH2_GRIK4,0.0007281509,True,outside,False,False
CR158ee290a-1081,26579.282272727272,9772.125454545456,Ex_DACH2_NR4A3,0.003660224,True,outside,False,False
CR158ee290a-1082,8578.410666666667,21021.50733333333,Ex_DACH2_MGAT4C,0.001194311,True,outside,False,False
CR158ee290a-1083,5021.4838709677415,13827.47193548387,Ex_DACH2_MGAT4C,0.0016156738,True,outside,False,False
CR158ee290a-1084,8325.669333333333,18913.38333333333,Ex_DACH2_GRIK4,0.003848714,True,outside,False,False
CR158ee290a-1085,12420.398,19630.32,Inh_LGE_like_FOXP1_DGKH,0.00053698674,True,outside,False,False
CR158ee290a-1086,15722.623,9666.949,Inh_LGE_like_FOXP1_DGKH,0.00040389513,True,outside,False,False
